# Full  Name                    SelID   SpecObjId               Date           Inst            Texp   Seeing    SDSS                    Sloan  _RA             _DE
1       J040242.50-064447.7     A04-3  130827332481974272      2010-01-16      AAT/SPIRAL      3600    2.1     J040242.50-064447.7     Sloan   060.67708       -06.74658
2       J04023.187-051629.2     A04-4  130827334742704128      2010-01-17      AAT/SPIRAL      7200    1.4     J040203.18-051629.1     Sloan   060.51325       -05.27475
3       J083751.79+061609.58    A08-3  334337177892683776      2010-01-16      AAT/SPIRAL      7200    1.3     J083751.79+061609.5     Sloan   129.46579       +06.26931
4       J08488.126+041533.5     A08-4  335181439442092032      2010-01-17      AAT/SPIRAL      7200    4.0     J084808.12+041533.6     Sloan   132.03383       +04.25933
5       J104746.94-002204.24    A10-1  77628570993688576       2010-01-16      AAT/SPIRAL      5400    1.0     J104746.93-002204.2     Sloan   161.94554       -00.36783
6       J104638.40+014831.6     A10-2  142932668890218496      2010-01-17      AAT/SPIRAL      7200    4.0     J104638.40+014831.6     Sloan   161.66000       +01.80878
7       J135232.50+024330.6     A13-2  149405190099828736      2009-06-05      AAT/SPIRAL      7200    1.1     J135232.50+024330.6     Sloan   208.13542       +02.72517
8       J040828.64-045219.8     B04-3  131108818087051264      2010-01-19      2.3m/WiFeS      7200    1.2     J040828.64-045219.8     Sloan   062.11933       -04.87217
9       J040228.88-052024.5     B04-4  131108817319493632      2010-01-20      2.3m/WiFeS      7200    1.2     J040228.88-052024.5     Sloan   060.62033       -05.34014
10      J084735.35+093102.56    B08-3  495623963607564288      2010-01-19      2.3m/WiFeS      7200    1.2     J084735.35+093102.5     Sloan   131.89729       +09.51736
11      J08543.867+073452.2     B08-4  365863508732018688      2010-01-20      2.3m/WiFeS      7200    1.2     J085403.86+073452.2     Sloan   133.51608       +07.58117
12      J105918.14+094837.1     B10-1  343625916930326528      2009-06-05      AAT/SPIRAL      3600    1.5     J105918.14+094837.2     Sloan   164.82558       +09.81033
13      J111635.58+023348.1     B11-2  143777215144787968      2010-01-20      2.3m/WiFeS      7200    1.2     J111635.58+023348.1     Sloan   169.14825       +02.56336
14      J144452.04+043654.5     B14-1  165449263151579136      2009-06-04      AAT/SPIRAL      1200    1.5     J144452.04+043654.5     Sloan   221.21683       +04.61514
15      J144452.04+043654.5     B14-1  165449263151579136      2009-06-05      AAT/SPIRAL      2400    1.5     J144452.04+043654.5     Sloan   221.21683       +04.61514
16      J154413.93+034550.6     B15-1  167419669911699456      2009-06-05      AAT/SPIRAL      3600    1.0     J154413.93+034550.7     Sloan   236.05804       +03.76408
17      J151129.57-020521.1     B15-2  260026477938999296      2009-06-05      AAT/SPIRAL      3600    1.0     J151129.57-020521.1     Sloan   227.87321       -02.08919
18      J205912.10-060740.6     B20-1  179242181897224192      2009-06-05      AAT/SPIRAL      7200    1.1     J205912.10-060740.6     Sloan   314.80042       -06.12794
19      J00288.639-003910.2     C00-1  110279118452424704      2008-07-15      AAT/SPIRAL      3600    1.4     J002808.64-003910.0     Sloan   007.03600       -00.65278
